Name,Rating,Current Price,Original Price,Discount,Features
HP 245G9 AMD Ryzen 3 Dual Core AMD Ryzen 3 3250U,4.2,"₹25,990","₹40,532",35%,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayNA1 Year Onsite Warranty
HP 255 G9 841W6pa AMD Ryzen 3 Dual Core,3.7,"₹26,990","₹35,796",24%,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMDOS Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Domestic Warrenty
ASUS Chromebook Intel Celeron Dual Core N4500,3.8,"₹19,990","₹32,990",39%,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
Acer Intel Celeron Dual Core N4500,3.8,"₹33,999",None,None,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty
HP AMD Ryzen 5 Hexa Core 5500U,4.3,"₹44,990","₹59,109",23%,"AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty"
Apple 2020 Macbook Air Apple M1,4.7,"₹71,990","₹89,900",19%,"Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty"
HP Laptop AMD Ryzen 3 Quad Core 5300U,4.3,"₹33,490","₹44,783",25%,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
HP 255 G9 840T7PA AMD Athlon Dual Core 3050U,3.9,"₹19,590","₹31,690",38%,AMD Athlon Dual Core Processor4 GB DDR4 RAMDOS Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
ASUS Chromebook Intel Celeron Dual Core N4500,3.8,"₹15,990","₹32,990",51%,Intel Celeron Dual Core Processor4 GB LPDDR4X RAMChrome Operating System39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
HP 360 Intel Celeron Quad Core N4120,4,"₹18,990","₹31,156",39%,Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty
Acer Aspire Lite Intel Core i3 12th Gen 1215U,4.2,"₹34,550","₹55,990",38%,Intel Core i3 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
